code,name,name_chinese
ISL,Iceland,冰岛
ISR,Israel,以色列
ITA,Italy,意大利
JAM,Jamaica,牙买加
JOR,Jordan,约旦
JPN,Japan,日本
KAZ,Kazakhstan,哈萨克斯坦
KEN,Kenya,肯尼亚
KGZ,Kyrgyzstan,吉尔吉斯斯坦
KHM,Cambodia,柬埔寨
KOR,Republic of Korea,大韩民国
KWT,Kuwait,科威特
LAO,Lao People's DR,老挝人民民主共和国
LBN,Lebanon,黎巴嫩
LBR,Liberia,利比里亚
LBY,Libya,利比亚
LCA,Saint Lucia,圣卢西亚
LKA,Sri Lanka,斯里兰卡
LSO,Lesotho,莱索托
LTU,Lithuania,立陶宛
LUX,Luxembourg,卢森堡
LVA,Latvia,拉脱维亚
MAR,Morocco,摩洛哥
MDA,Republic of Moldova,摩尔多瓦共和国
MDG,Madagascar,马达加斯加
MEX,Mexico,墨西哥
MKD,TFYR of Macedonia,前南斯拉夫马其顿共和国
MLI,Mali,马里
MLT,Malta,马耳他
MMR,Myanmar,缅甸
MNE,Montenegro,黑山
MNG,Mongolia,蒙古
MOZ,Mozambique,莫桑比克
MRT,Mauritania,毛里塔尼亚
MUS,Mauritius,毛里求斯
MWI,Malawi,马拉维
MYS,Malaysia,马来西亚
NAM,Namibia,纳米比亚
NER,Niger,尼日尔
NGA,Nigeria,尼日利亚
NIC,Nicaragua,尼加拉瓜
NLD,Netherlands,荷兰
NOR,Norway,挪威
NPL,Nepal,尼泊尔
NZL,New Zealand,新西兰
OMN,Oman,阿曼
PAK,Pakistan,巴基斯坦
PAN,Panama,巴拿马
PER,Peru,秘鲁
PHL,Philippines,菲律宾
POL,Poland,波兰
PRI,Puerto Rico,波多黎各
PRK,D.P.R. of Korea,朝鲜民主主义人民共和国
PRT,Portugal,葡萄牙
PRY,Paraguay,巴拉圭
PSE,State of Palestine,巴勒斯坦国
QAT,Qatar,卡塔尔
ROU,Romania,罗马尼亚
RUS,Russian Federation,俄罗斯联邦
RWA,Rwanda,卢旺达
SAU,Saudi Arabia,沙特阿拉伯
SDN,Sudan (Former),苏丹（前）
SEN,Senegal,塞内加尔
SGP,Singapore,新加坡
SLE,Sierra Leone,塞拉利昂
SLV,El Salvador,萨尔瓦多
SRB,Serbia,塞尔维亚
STP,Sao Tome and Principe,圣多美和普林西比
SUN,Former USSR,前苏联
SVK,Slovakia,斯洛伐克
SVN,Slovenia,斯洛文尼亚
SWE,Sweden,瑞典
SWZ,Swaziland,斯威士兰
SYC,Seychelles,塞舌尔
SYR,Syrian Arab Republic,阿拉伯叙利亚共和国
TCD,Chad,乍得
TGO,Togo,多哥
THA,Thailand,泰国
TJK,Tajikistan,塔吉克斯坦
TKM,Turkmenistan,土库曼斯坦
TTO,Trinidad and Tobago,特立尼达和多巴哥
TUN,Tunisia,突尼斯
TUR,Turkey,土耳其
TWN,"Taiwan, Province of China",台湾，中国的省份
TZA,U.R. of Tanzania: Mainland,坦桑尼亚联合共和国：大陆
UGA,Uganda,乌干达
UKR,Ukraine,乌克兰
URY,Uruguay,乌拉圭
USA,United States,美国
UZB,Uzbekistan,乌兹别克斯坦
VEN,Venezuela (Bolivarian Republic of),委内瑞拉
VNM,Viet Nam,越南
YEM,Yemen,也门
YUG,Former Yugoslavia,前南斯拉夫
ZAF,South Africa,南非
ZMB,Zambia,赞比亚
ZWE,Zimbabwe,津巴布韦
BEM,British Empire,大英帝国
